,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,603885.SH,20190507,12.26,12.64,12.26,12.52,12.19,0.33000000000000007,2.71,161413.75,200535.159
1,603885.SH,20190506,13.0,13.0,12.14,12.19,13.41,-1.2200000000000006,-9.1,184433.47,230104.736
2,603885.SH,20190430,13.18,13.43,13.15,13.41,13.3,0.10999999999999943,0.83,95662.56,127336.503
3,603885.SH,20190429,13.38,13.61,13.19,13.3,13.23,0.07000000000000028,0.53,123974.81,166290.509
4,603885.SH,20190426,13.3,13.39,13.05,13.23,13.27,-0.03999999999999915,-0.3,89782.23,118955.996
5,603885.SH,20190425,13.73,13.75,13.27,13.27,13.81,-0.5400000000000009,-3.91,105835.73,143005.54
6,603885.SH,20190424,13.67,13.84,13.53,13.81,13.64,0.16999999999999993,1.25,125311.51,172068.009
7,603885.SH,20190423,14.0,14.01,13.58,13.64,14.06,-0.41999999999999993,-2.99,156488.05,215156.723
8,603885.SH,20190422,14.2,14.2,13.84,14.06,14.3,-0.2400000000000002,-1.68,160768.32,224594.7
9,603885.SH,20190419,14.36,14.36,14.07,14.3,14.37,-0.06999999999999851,-0.49,108807.87,154341.085
10,603885.SH,20190418,14.57,14.82,14.27,14.37,14.56,-0.19000000000000128,-1.3,150123.96,218107.078
11,603885.SH,20190417,14.5,14.76,14.37,14.56,14.51,0.05000000000000071,0.34,133034.17,193294.156
12,603885.SH,20190416,14.32,14.54,14.17,14.51,14.41,0.09999999999999964,0.69,159868.17,229963.055
13,603885.SH,20190415,15.07,15.15,14.33,14.41,14.88,-0.47000000000000064,-3.16,260082.59,381020.251
14,603885.SH,20190412,14.98,15.3,14.82,14.88,15.38,-0.5,-3.25,146625.74,220243.893
15,603885.SH,20190411,15.59,15.67,15.22,15.38,15.69,-0.3099999999999987,-1.98,94034.18,145305.932
16,603885.SH,20190410,15.33,15.9,15.09,15.69,15.45,0.2400000000000002,1.55,158828.52,245226.95
17,603885.SH,20190409,15.57,15.65,15.16,15.45,15.59,-0.14000000000000057,-0.9,193390.43,297203.929
18,603885.SH,20190408,16.53,16.53,15.44,15.59,16.9,-1.3099999999999987,-7.75,316067.41,500929.337
19,603885.SH,20190404,17.8,17.8,16.62,16.9,16.18,0.7199999999999989,4.45,430489.32,741024.493
20,603885.SH,20190403,15.7,16.27,15.61,16.18,15.7,0.4800000000000004,3.06,174389.25,280122.033
21,603885.SH,20190402,15.77,16.27,15.61,15.7,15.69,0.009999999999999787,0.06,202130.15,321974.037
22,603885.SH,20190401,14.82,15.83,14.82,15.69,14.77,0.9199999999999999,6.23,298871.58,465444.319
