,code,name
1,300348.SZ,长亮科技
2,600010.SH,包钢股份
3,600796.SH,钱江生化
4,600560.SH,金自天正
5,300327.SZ,中颖电子
6,000721.SZ,西安饮食
7,600563.SH,法拉电子
8,300304.SZ,云意电气
9,002288.SZ,超华科技
10,600292.SH,远达环保
11,300371.SZ,汇中股份
12,002638.SZ,勤上股份
13,300276.SZ,三丰智能
14,000917.SZ,电广传媒
15,600346.SH,恒力股份
16,000735.SZ,罗牛山
17,600549.SH,厦门钨业
18,600532.SH,宏达矿业
19,300353.SZ,东土科技
20,002625.SZ,光启技术
21,603555.SH,贵人鸟
22,002708.SZ,光洋股份
23,603009.SH,北特科技
24,600841.SH,上柴股份
25,603885.SH,吉祥航空
26,002400.SZ,省广集团
27,300446.SZ,乐凯新材
28,002293.SZ,罗莱生活
29,000736.SZ,中交地产
30,600463.SH,空港股份
31,002557.SZ,洽洽食品
32,000981.SZ,ST银亿
33,600362.SH,江西铜业
34,600177.SH,雅戈尔
35,603167.SH,渤海轮渡
36,600736.SH,苏州高新
37,000798.SZ,中水渔业
38,002017.SZ,东信和平
39,002802.SZ,洪汇新材
40,000031.SZ,大悦城
41,002222.SZ,福晶科技
42,000839.SZ,中信国安
43,300099.SZ,精准信息
44,002579.SZ,中京电子
45,002510.SZ,天汽模
46,000601.SZ,韶能股份
47,000768.SZ,中航飞机
48,002244.SZ,滨江集团
49,000828.SZ,东莞控股
50,300336.SZ,新文化
